National Party,1053398,41
Labour Party,796880,21
Green Party,157613,0
ACT New Zealand,85496,1
M?ori Party,55980,5
Jim Anderton's Progressive,21241,1
United Future,20497,1
New Zealand First Party,95356,0
The Bill and Ben Party,13016,0
Kiwi Party,12755,0
Aotearoa Legalise Cannabis Party,9515,0
New Zealand Pacific Party,8640,0
Family Party,8176,0
Alliance,1909,0
Democrats for Social Credit,1208,0
Libertarianz,1176,0
Workers Party,932,0
RAM - Residents Action Movement,465,0
The Republic of New Zealand Party,313,0
