7,,,,,,
70,,,,,,
names,,,,,,
LAB,NZF,NAT,GRN,ACT,MAO,UF
8590,1403,14447,7797,404,562,75
4965,4569,20853,3142,418,213,207
7111,1278,17749,1277,478,84,94
8240,1391,12506,4556,219,139,151
9100,1801,13252,3359,101,84,160
5160,1556,20020,2751,583,136,259
6239,3813,18021,3929,473,151,236
10127,1706,9707,7010,218,126,183
12326,2522,14163,4798,210,107,186
7101,2536,14804,3154,280,313,271
5769,1657,21079,2704,530,130,145
5716,959,23725,4424,939,217,116
8217,1786,17085,3949,341,195,260
9342,2475,15300,2834,292,188,227
5138,1648,23558,3094,499,186,163
5705,2626,22161,2438,515,188,170
11751,1974,13510,3940,249,196,294
6552,1350,19934,4586,394,171,247
9296,2213,16140,2723,397,162,264
6775,2236,18909,3786,379,147,306
12999,1667,13754,4398,163,227,234
17960,1466,3592,962,77,134,49
17977,1703,5287,913,143,131,41
14517,1861,6606,995,153,163,56
12467,1753,14747,3220,400,213,130
12238,1494,12102,5660,306,172,114
14098,1513,12781,2351,350,124,125
9921,1893,16538,3327,359,207,203
9639,1913,16016,5660,259,161,348
12462,2081,13211,4094,334,148,129
8761,2137,18073,3276,347,207,154
6036,1806,23113,4035,714,223,179
8264,1865,17263,3614,484,182,193
5748,3330,16381,3848,536,257,149
10036,1478,18764,5453,286,201,672
11137,3057,17609,3612,253,210,266
6068,1847,20471,2024,585,109,149
11194,1870,14577,3469,245,168,210
8603,2680,16640,1731,331,183,133
9199,1609,14532,6522,246,135,157
9687,2084,19282,2894,367,123,307
6723,2305,17115,2994,478,247,260
11375,2148,15364,3422,235,190,340
5178,2688,23967,3265,460,140,154
12606,1640,12168,8920,238,251,217
6919,3326,16159,2700,269,404,258
5942,1750,23086,4215,336,137,256
6642,1421,24338,3314,893,193,156
4950,2252,18759,2554,461,209,340
6844,2833,19003,2549,394,226,311
5496,5455,19858,3208,426,182,205
11999,2081,12701,2231,271,193,121
8231,1995,17935,3294,498,263,220
5173,2549,18875,2208,607,186,243
8431,2131,20489,3050,195,93,208
8161,2738,18046,3442,467,218,238
11579,2011,12533,3308,259,168,125
8257,2010,21309,4587,432,136,317
10459,1132,15128,10903,462,278,256
9200,1931,15462,4787,278,145,468
8733,3035,15151,2855,345,225,143
7017,3340,17486,3673,596,212,180
9866,1948,14357,4243,202,141,251
8250,1758,1491,1634,37,2337,33
9054,1516,1091,1710,36,2736,14
7739,1948,1569,1810,28,2694,10
7645,1445,1421,2031,23,3829,25
6855,1950,1814,1704,46,2208,17
6791,1544,2631,2789,32,2379,43
6591,2058,1068,1663,28,3989,22
